Ensembl ID	Gene name	logFC	H3K79me2 GB Coverage
ENSMUSG00000047888	Tnrc6b	-0.411235661913988	0.480835499999999
ENSMUSG00000032187	Smarca4	-0.410983124154287	0.3698815
ENSMUSG00000028622	Mrpl37	-0.410954753436687	0.14238295
ENSMUSG00000100254	Trpc2	-0.410445209037357	0.0050448
ENSMUSG00000025758	Plk4	-0.410214853095913	0.389594
ENSMUSG00000025583	Rptor	-0.410076644189224	0.391628
ENSMUSG00000059291	Rpl11	-0.410055148865705	0.141154
ENSMUSG00000006313	Upk1a	-0.410015039420056	0.0
ENSMUSG00000074781	Ube2n	-0.409882887345038	0.645003999999999
ENSMUSG00000030641	Ddias	-0.409856879063769	0.1517371
ENSMUSG00000005886	Ncoa2	-0.409808835247656	0.481387499999999
ENSMUSG00000079260	Tmppe	-0.409710187634577	0.5825505
ENSMUSG00000053398	Phgdh	-0.409544294772968	0.0186794
ENSMUSG00000010936	Vac14	-0.409490290104093	0.200753
ENSMUSG00000031730	Dhodh	-0.409355053018908	0.0424961
ENSMUSG00000027520	Zdbf2	-0.409161338775893	0.188129
ENSMUSG00000025078	Nhlrc2	-0.408925035213209	0.528121
ENSMUSG00000071652	Ints5	-0.408835432291663	0.6492625
ENSMUSG00000079588	Tmem182	-0.408703369664419	0.401135
ENSMUSG00000018921	Pelp1	-0.408687607630584	0.318415
ENSMUSG00000024143	Rhoq	-0.408653697851268	0.684925
ENSMUSG00000032777	Gtf3c1	-0.408533479919022	0.336159
ENSMUSG00000049091	Sephs2	-0.40848227356889	0.7489665
ENSMUSG00000040312	Cchcr1	-0.408383768498872	0.085441
ENSMUSG00000032902	Slc16a1	-0.408342089829558	0.702526
ENSMUSG00000058230	Arhgap35	-0.408265636634272	0.6088765
ENSMUSG00000002496	Tsc2	-0.408227701404623	0.0471547
ENSMUSG00000019082	Slc25a22	-0.408217999073654	0.33998
ENSMUSG00000024590	Lmnb1	-0.408113991157308	0.6937315
ENSMUSG00000037103	Dcaf15	-0.40766199537999	0.426529999999999
ENSMUSG00000097577	6230400D17Rik	-0.407425945711081	0.566232
ENSMUSG00000042390	Gatad2b	-0.407385560607279	0.5555105
ENSMUSG00000058298	Mcm9	-0.407326904344043	0.2959415
ENSMUSG00000028430	Nol6	-0.406995904225004	0.07877155
ENSMUSG00000066357	Wdr6	-0.406892993397389	0.6280915
ENSMUSG00000043635	Adamts3	-0.40688788413509	0.1858295
ENSMUSG00000020116	Pno1	-0.406454009451952	0.282105
ENSMUSG00000045328	Cenpe	-0.406369670505196	0.04431435
ENSMUSG00000031924	Cyb5b	-0.40585542496026	0.480913
ENSMUSG00000054814	Usp46	-0.405807630745043	0.454422
ENSMUSG00000033732	Sf3b3	-0.40560411437543	0.486361
ENSMUSG00000032381	Ciao2a	-0.405561845395583	0.2954635
ENSMUSG00000030008	Pradc1	-0.405358574368656	0.45001
ENSMUSG00000041852	Tcf20	-0.405302274149205	0.382098
ENSMUSG00000038370	Pcp4l1	-0.405049173421012	0.6193115
ENSMUSG00000024007	Ppil1	-0.404741561618523	0.5671325
ENSMUSG00000003476	Crhr2	-0.404580405792616	0.1521715
ENSMUSG00000024312	Wdr46	-0.404549579778855	0.174762
ENSMUSG00000043243	Fam129c	-0.404417238651019	0.0142871
ENSMUSG00000020949	Fkbp3	-0.404304556406047	0.581751
ENSMUSG00000046707	Csnk2a2	-0.404303405799638	0.399406
ENSMUSG00000035455	Fignl1	-0.404196149128644	0.315088999999999
ENSMUSG00000021913	Ogdhl	-0.404151381297988	0.0
ENSMUSG00000029999	Tgfa	-0.40406598993487	0.1275139
ENSMUSG00000016253	Nelfcd	-0.40404257942236	0.2989995
ENSMUSG00000064326	Siva1	-0.403792499902127	0.7144935
ENSMUSG00000025732	Mcrip2	-0.403685288090729	0.684626
ENSMUSG00000028044	Cks1b	-0.403606398945052	0.675996
ENSMUSG00000027984	Hadh	-0.403420300808678	0.5293535
ENSMUSG00000047045	Tmem164	-0.40340851185744	0.519514
ENSMUSG00000046865	Fbl	-0.403012640988898	0.5707635
ENSMUSG00000004637	Wwox	-0.402984740284793	0.00967415
ENSMUSG00000039844	Rapgef1	-0.402869666080355	0.3870555
ENSMUSG00000001416	Cct3	-0.402737230299882	0.3616945
ENSMUSG00000109324	Prmt1	-0.402557576259718	0.5325615
ENSMUSG00000047719	Ubiad1	-0.402553235282083	0.6304365
ENSMUSG00000004610	Etfb	-0.402473454652984	0.563311
ENSMUSG00000019849	Prep	-0.402374912468012	0.5174505
ENSMUSG00000097101	1810034E14Rik	-0.402221079406872	0.412927
ENSMUSG00000025154	Arhgap19	-0.401781537939618	0.1915115
ENSMUSG00000023495	Pcbp4	-0.401736776605283	0.6116395
ENSMUSG00000022678	Nde1	-0.401679165126984	0.314965999999999
ENSMUSG00000017716	Birc5	-0.401671746890316	0.671338
ENSMUSG00000026491	Ahctf1	-0.401513464869567	0.232594
ENSMUSG00000050323	Ndufaf6	-0.401359612927871	0.179802
ENSMUSG00000041000	Trim62	-0.400896222110089	0.0838047
ENSMUSG00000039431	Mtmr7	-0.400724669644039	0.2078605
ENSMUSG00000021236	Entpd5	-0.400636234035312	0.3247235
ENSMUSG00000032897	Nfyc	-0.400610278702972	0.583105
ENSMUSG00000025428	Atp5a1	-0.400553314005751	0.6213215
ENSMUSG00000022216	Psme1	-0.400507850494373	0.6011155
ENSMUSG00000027811	4930579G24Rik	-0.400504421270556	0.3951095
ENSMUSG00000029545	Acads	-0.400017222911061	0.5301175
ENSMUSG00000005233	Spc25	-0.399966534961115	0.315691
ENSMUSG00000024764	Naa40	-0.399943788828161	0.535833999999999
ENSMUSG00000026172	Bcs1l	-0.399796977541097	0.321059
ENSMUSG00000022708	Zbtb20	-0.399416730162972	0.2512945
ENSMUSG00000020680	Taf15	-0.399376708331168	0.53543
ENSMUSG00000063802	Hspbp1	-0.399326740524888	0.198386999999999
ENSMUSG00000023079	Gtf2ird1	-0.399252580593386	0.3536455
ENSMUSG00000038844	Kif16b	-0.398658410082059	0.2058985
ENSMUSG00000050043	Tmx2	-0.398622541013272	0.5461345
ENSMUSG00000008136	Fhl2	-0.398361720317734	0.688795
ENSMUSG00000033909	Usp36	-0.398288601883164	0.249755
ENSMUSG00000018548	Trim37	-0.398028103450578	0.067265
ENSMUSG00000036158	Prickle1	-0.397967821173749	0.7013115
ENSMUSG00000019338	Zfp687	-0.397902356834626	0.464781499999999
ENSMUSG00000062397	Zfp706	-0.397878416174471	0.590583499999999
ENSMUSG00000042787	Exog	-0.397795792102755	0.16959915
ENSMUSG00000024247	Pkdcc	-0.397590408232885	0.6835055
ENSMUSG00000038121	Fam210a	-0.397589300271989	0.6126735
ENSMUSG00000039396	Neil3	-0.397475471954789	0.211441
ENSMUSG00000022177	Haus4	-0.397280797390393	0.08112525
ENSMUSG00000044700	Tmem201	-0.397210082295347	0.479797
ENSMUSG00000021079	Timm9	-0.39706252545232	0.5943975
ENSMUSG00000009112	Bcl2l13	-0.397050923279051	0.4915595
ENSMUSG00000026824	Kcnj3	-0.396988846442616	0.13552565
ENSMUSG00000054958	Nt5c1a	-0.396941689978771	0.086041
ENSMUSG00000069910	Spdl1	-0.396533619659892	0.179024
ENSMUSG00000030802	Bckdk	-0.396374477714149	0.235179
ENSMUSG00000062078	Qk	-0.396315576559573	0.6505665
ENSMUSG00000070565	Rasal2	-0.396282877600685	0.49026
ENSMUSG00000027799	Nbea	-0.396243489347091	0.07074295
ENSMUSG00000024862	Klc2	-0.396037969617163	0.190106
ENSMUSG00000022560	Slc52a2	-0.396027130271142	0.0791066
ENSMUSG00000042404	Dennd4b	-0.395851190957335	0.216887
ENSMUSG00000027194	Ttc17	-0.395514786425103	0.207674499999999
ENSMUSG00000002477	Snrpd1	-0.395464781824608	0.2949395
ENSMUSG00000018362	Kpna2	-0.395376899099409	0.607395
ENSMUSG00000024078	Ttc27	-0.395187115792912	0.057574
ENSMUSG00000026857	Ntmt1	-0.395101031143865	0.705155
ENSMUSG00000035765	Dym	-0.395060099936456	0.206882
ENSMUSG00000063873	Slc24a3	-0.394872584305292	0.0
ENSMUSG00000032342	Mto1	-0.39481469784257	0.2497145
ENSMUSG00000037098	Rab11fip3	-0.394778713541563	0.386196
ENSMUSG00000039693	Msantd3	-0.394748568894092	0.6857175
ENSMUSG00000075704	Txnrd2	-0.394430051236551	0.068324
ENSMUSG00000086327	Slfn5os	-0.394428522128289	0.0
ENSMUSG00000079109	Pms2	-0.394157898661321	0.159341999999999
ENSMUSG00000066042	Med18	-0.394143932442153	0.62618
ENSMUSG00000037826	Ppm1k	-0.394143733463538	0.4982225
ENSMUSG00000056476	Med12l	-0.394133278222986	0.1118909
ENSMUSG00000043648	Pld6	-0.393921655030008	0.335956
ENSMUSG00000040752	Myh6	-0.393893749923676	0.6405805
ENSMUSG00000018405	Mrm1	-0.393891449244446	0.426878
ENSMUSG00000000555	Itga5	-0.393740736997666	0.567199
ENSMUSG00000024073	Birc6	-0.393417125916414	0.2736655
ENSMUSG00000036202	Rif1	-0.393121298786766	0.311894499999999
ENSMUSG00000043909	Trp53bp1	-0.393101252656976	0.2761085
ENSMUSG00000024622	Hmgxb3	-0.393021832636196	0.225542499999999
ENSMUSG00000037339	Fam53a	-0.393011821515929	0.4904745
ENSMUSG00000044641	Pard6b	-0.39293686827401	0.569604
ENSMUSG00000038256	Bcl9	-0.392921130835812	0.583316
ENSMUSG00000001305	Rrp15	-0.392452664251482	0.4355025
ENSMUSG00000034471	Caskin2	-0.392202777923669	0.549284
ENSMUSG00000025733	Rhot2	-0.392196706365353	0.5633305
ENSMUSG00000021391	Cenpp	-0.392076473580041	0.125829499999999
ENSMUSG00000028053	Ash1l	-0.392061894976544	0.399428499999999
ENSMUSG00000023932	Cdc5l	-0.391726763047676	0.4429085
ENSMUSG00000000340	Dbt	-0.391722307266488	0.388329
ENSMUSG00000031155	Pim2	-0.391471151727801	0.12454065
ENSMUSG00000054509	Parp4	-0.391120148606899	0.0278583
ENSMUSG00000055013	Agap1	-0.391092058697102	0.2936055
ENSMUSG00000039611	Tmem246	-0.390922281836833	0.648007
ENSMUSG00000034930	Rtkn	-0.390779207051559	0.3042295
ENSMUSG00000097006	9530082P21Rik	-0.390590690159735	0.0
ENSMUSG00000021577	Sdha	-0.390564141532369	0.357441
ENSMUSG00000020778	Ten1	-0.390481855564986	0.207331
ENSMUSG00000026019	Wdr12	-0.390463917777366	0.0430685
ENSMUSG00000009079	Ewsr1	-0.390313605329524	0.660085
ENSMUSG00000032050	Rdx	-0.390019049621372	0.4181285
ENSMUSG00000008604	Ubqln4	-0.389976010499791	0.3140345
ENSMUSG00000030678	Maz	-0.389911377464371	0.6612675
ENSMUSG00000032009	Sesn3	-0.389821344398854	0.3349615
ENSMUSG00000037331	Larp1	-0.389760687685907	0.568329499999999
ENSMUSG00000078532	Nkain1	-0.389612583638103	0.1549726
ENSMUSG00000060860	Ube2s	-0.389555426114993	0.253228
ENSMUSG00000044573	Acp1	-0.389374492221984	0.308284
ENSMUSG00000037112	Sik2	-0.388893222929143	0.3428185
ENSMUSG00000028906	Epb41	-0.388733839234097	0.3792175
ENSMUSG00000057541	Pus7	-0.38846164933882	0.194931
ENSMUSG00000024456	Diaph1	-0.38830719936552	0.1578105
ENSMUSG00000035569	Ankrd11	-0.38822645329976	0.6622535
ENSMUSG00000040648	Ppip5k2	-0.388062209705849	0.4756305
ENSMUSG00000006678	Pola1	-0.3879932787103	0.0805768999999999
ENSMUSG00000034485	Uaca	-0.387931787890631	0.343095
ENSMUSG00000037583	Nr0b2	-0.387695969520691	0.730465
ENSMUSG00000021710	Nln	-0.387659490135258	0.2184315
ENSMUSG00000023110	Prmt5	-0.387652150916082	0.1238999
ENSMUSG00000042225	Ammecr1	-0.387633675650027	0.67946
ENSMUSG00000034187	Nsf	-0.387594151352667	0.04819125
ENSMUSG00000061436	Hipk2	-0.387418602341518	0.4461125
ENSMUSG00000015755	Tab2	-0.387374249068249	0.659308
ENSMUSG00000031349	Nsdhl	-0.387308045294073	0.01808155
ENSMUSG00000028274	Rngtt	-0.387287054871837	0.0931676999999999
ENSMUSG00000066839	Ecsit	-0.387186310315645	0.441181
ENSMUSG00000032314	Etfa	-0.38702244279328	0.343277999999999
ENSMUSG00000074088	Snrnp40	-0.386776503268949	0.232313
ENSMUSG00000116165	Pdxp	-0.38660422817063	0.4769605
ENSMUSG00000024639	Gnaq	-0.386447223359508	0.552228
ENSMUSG00000029326	Enoph1	-0.386024199687781	0.4911035
ENSMUSG00000020917	Acly	-0.385900236993582	0.04884995
ENSMUSG00000032253	Phip	-0.385899311020094	0.3272875
ENSMUSG00000063382	Bcl9l	-0.38587347222013	0.646894
ENSMUSG00000030216	Wbp11	-0.385628675605632	0.470062
ENSMUSG00000029447	Cct6a	-0.385523419778512	0.0702917
ENSMUSG00000059288	Cdyl	-0.38521239661072	0.3419535
ENSMUSG00000035933	Cog5	-0.385179077897759	0.252977499999999
ENSMUSG00000021262	Evl	-0.384994837953876	0.479114
ENSMUSG00000024841	Eif1ad	-0.38494326958459	0.530818999999999
ENSMUSG00000054889	Dsp	-0.384813288120529	0.521836
ENSMUSG00000040034	Nup43	-0.38476556978855	0.5454785
ENSMUSG00000038379	Ttk	-0.384741132687132	0.0889631499999999
ENSMUSG00000030086	Chchd6	-0.3845492735674	0.05505245
ENSMUSG00000003549	Ercc1	-0.384530764561396	0.341534
ENSMUSG00000073435	Nme3	-0.384450361654563	0.714565
ENSMUSG00000021910	Nisch	-0.384410651039532	0.5964315
ENSMUSG00000029910	Mad2l1	-0.384264297907191	0.3020035
ENSMUSG00000059970	Hspa2	-0.384257794532946	0.13065525
ENSMUSG00000034574	Daam1	-0.384058664022941	0.627868499999999
ENSMUSG00000025200	Cwf19l1	-0.383918441865284	0.056663
ENSMUSG00000035284	Vps13c	-0.383710768907445	0.0829154
ENSMUSG00000037275	Gemin5	-0.38323019080084	0.09085665
ENSMUSG00000019659	Ccdc12	-0.383181957087136	0.588278499999999
ENSMUSG00000052926	Rnaseh2a	-0.38309443499353	0.181144499999999
ENSMUSG00000033386	Frrs1	-0.383058048558329	0.0328858
ENSMUSG00000062175	Tgif2	-0.383054636493856	0.685396
ENSMUSG00000047746	Fbxo40	-0.382899657357472	0.5257515
ENSMUSG00000028896	Rcc1	-0.382758849687848	0.4525065
ENSMUSG00000052488	Cherp	-0.382713820323656	0.371794
ENSMUSG00000024843	Chka	-0.382626693255587	0.4357
ENSMUSG00000003813	Rad23a	-0.382359112476249	0.5106065
ENSMUSG00000026202	Tuba4a	-0.382206778710295	0.457609
ENSMUSG00000026806	Ddx31	-0.382158771350188	0.0813843
ENSMUSG00000021811	Dnajc9	-0.382082212771704	0.6410015
ENSMUSG00000054321	Taf4b	-0.38177713121938	0.0172181
ENSMUSG00000020897	Aurkb	-0.381543569867707	0.670654499999999
ENSMUSG00000068329	Htra2	-0.381278047624134	0.45746
ENSMUSG00000067369	Trmt2b	-0.381275055621324	0.288868
ENSMUSG00000045045	Lrfn4	-0.381199283759072	0.6098375
ENSMUSG00000020899	Pfas	-0.381014660500837	0.1074504
ENSMUSG00000039704	Lmbrd2	-0.381011356905467	0.0183825
ENSMUSG00000064128	Cenpj	-0.380944549564113	0.0517723999999999
ENSMUSG00000066043	Phactr4	-0.380853416420881	0.494787
ENSMUSG00000025209	Twnk	-0.38077008886343	0.493662
ENSMUSG00000028402	Mpdz	-0.38060185328533	0.1215341
ENSMUSG00000000568	Hnrnpd	-0.380378404747492	0.535863
ENSMUSG00000028645	Slc2a1	-0.380346490066968	0.667202
ENSMUSG00000040118	Cacna2d1	-0.379934590470387	0.302919999999999
ENSMUSG00000002908	Kcnn1	-0.379898475866082	0.0539604
ENSMUSG00000024833	Pola2	-0.379698332494162	0.3193015
ENSMUSG00000048379	Socs4	-0.37958567569986	0.61376
ENSMUSG00000052798	Nup107	-0.379350341215366	0.0977307
ENSMUSG00000003660	Snrnp200	-0.379266475013181	0.0324331
ENSMUSG00000094724	Rnaset2b	-0.378985401368299	0.145969899999999
ENSMUSG00000038204	Asb10	-0.378754279545698	0.256822
ENSMUSG00000024384	Iws1	-0.378751980134147	0.2425385
ENSMUSG00000021938	Pspc1	-0.378578371731146	0.5954225
ENSMUSG00000096188	Cmtm4	-0.378290971475513	0.591795
ENSMUSG00000033065	Pfkm	-0.37808773734562	0.2263255
ENSMUSG00000033751	Gadd45gip1	-0.378041739934114	0.5993435
ENSMUSG00000047284	Neurl4	-0.377964393621515	0.258334
ENSMUSG00000084808	9430091E24Rik	-0.377866038314577	0.5119315
ENSMUSG00000053581	Zfand2a	-0.377726945039635	0.09547205
ENSMUSG00000005732	Ranbp1	-0.377531789539641	0.617667
ENSMUSG00000041632	Mrps27	-0.377262690506479	0.2277505
ENSMUSG00000032185	Carm1	-0.377243020820915	0.4312815
ENSMUSG00000038046	Mrm3	-0.377221293014897	0.387835
ENSMUSG00000035293	G2e3	-0.377206322565235	0.4640115
ENSMUSG00000027115	Kif18a	-0.377159306077006	0.135461499999999
ENSMUSG00000024844	Banf1	-0.377150859932655	0.528842
ENSMUSG00000025036	Sfxn2	-0.377097917233492	0.175593
ENSMUSG00000035842	Ddx11	-0.376985454245757	0.0685049
ENSMUSG00000018446	C1qbp	-0.376973279099067	0.5386245
ENSMUSG00000103332	Pcdhga2	-0.376720603674289	0.491279
ENSMUSG00000034295	Fhod3	-0.376683439961105	0.5095835
ENSMUSG00000039671	Zmynd8	-0.376610870692894	0.494946
ENSMUSG00000025364	Pa2g4	-0.376335323821168	0.344381
ENSMUSG00000032459	Mrps22	-0.376290899476271	0.228173
ENSMUSG00000031949	Adat1	-0.376223883027109	0.0680252
ENSMUSG00000040565	Btaf1	-0.376020933639854	0.3452185
ENSMUSG00000036678	Aaas	-0.375925320640118	0.0599438999999999
ENSMUSG00000020781	Tsen54	-0.375881671741179	0.333592
ENSMUSG00000024436	Mrps18b	-0.375450714428637	0.64357
ENSMUSG00000023959	Clic5	-0.375271588678842	0.256532
ENSMUSG00000037725	Ckap2	-0.375070209747192	0.468771
ENSMUSG00000028698	Pik3r3	-0.374900081924387	0.23342
ENSMUSG00000025161	Slc16a3	-0.374726383183541	0.670554499999999
ENSMUSG00000086629	2810403D21Rik	-0.374673020831464	0.0
ENSMUSG00000016619	Nup50	-0.374526488746339	0.600214999999999
ENSMUSG00000044783	Hjurp	-0.374253747544118	0.4549895
ENSMUSG00000041781	Cpsf2	-0.374205842510841	0.1741795
ENSMUSG00000021420	Fars2	-0.374203412616853	0.15415725
ENSMUSG00000042354	Gnl3	-0.374151801813849	0.4170385
ENSMUSG00000036086	Zranb3	-0.374079940350645	0.0332787
ENSMUSG00000024613	Tcof1	-0.374013103329973	0.11284345
ENSMUSG00000040354	Mars1	-0.37395142027544	0.167127499999999
ENSMUSG00000038489	Polr2l	-0.37389965336234	0.622212
ENSMUSG00000033610	Pank1	-0.373835029848594	0.633536
ENSMUSG00000071350	Setdb2	-0.373681675445182	0.0476129
ENSMUSG00000025486	Sirt3	-0.373266992911246	0.5251555
ENSMUSG00000051346	Spryd4	-0.37320931514853	0.615526
ENSMUSG00000028671	Gale	-0.373171035531928	0.1476865
ENSMUSG00000023953	Polh	-0.372961463416705	0.263686
ENSMUSG00000050530	Fam171a1	-0.372951383923344	0.407077
ENSMUSG00000016181	Utp25	-0.372832063448556	0.0839692
ENSMUSG00000030726	Pold3	-0.372813329102771	0.211304
ENSMUSG00000020235	Fzr1	-0.372659659104792	0.568727
ENSMUSG00000005674	Tomm40l	-0.372519813899902	0.2286285
ENSMUSG00000022438	Parvb	-0.372515089674238	0.3727795
ENSMUSG00000067150	Xpo5	-0.372467778495419	0.0965776
ENSMUSG00000040767	Snrnp25	-0.372459508345703	0.1683475
ENSMUSG00000045962	Wnk1	-0.372436547721874	0.47055
ENSMUSG00000045128	Rpl18a	-0.37225920797696	0.668153
ENSMUSG00000038736	Nudcd1	-0.372254846877619	0.084142
ENSMUSG00000004980	Hnrnpa2b1	-0.372218288246484	0.621388
ENSMUSG00000020739	Nup85	-0.37218131328927	0.351166
ENSMUSG00000036087	Slain2	-0.372071472911923	0.5902195
ENSMUSG00000069378	Prdm6	-0.371921605887499	0.05238355
ENSMUSG00000040812	Agbl2	-0.371767380215499	0.0
ENSMUSG00000024780	Cdc37l1	-0.371747475114311	0.510115499999999
ENSMUSG00000021697	Depdc1b	-0.371705615723362	0.0469814
ENSMUSG00000022858	Tra2b	-0.371653531305464	0.634687999999999
ENSMUSG00000005893	Nr2c2	-0.371426942185077	0.499132
ENSMUSG00000097652	Mhrt	-0.371025136475411	0.4457865
ENSMUSG00000000884	Gnb1l	-0.37102165474612	0.1094208
ENSMUSG00000007564	Ppp2r1a	-0.370949980896371	0.380423
ENSMUSG00000075266	Cenpw	-0.370897551850744	0.39995
ENSMUSG00000031540	Kat6a	-0.370542956904327	0.449662499999999
ENSMUSG00000042213	Zfand4	-0.370468728618575	0.0
ENSMUSG00000029624	Ptcd1	-0.370320167782305	0.2728505
ENSMUSG00000026127	Imp4	-0.370204725320956	0.167421
ENSMUSG00000060038	Dhps	-0.370082208532274	0.454345
ENSMUSG00000025555	Farp1	-0.369892119052668	0.3968115
ENSMUSG00000027671	Actl6a	-0.369684084619968	0.2150805
ENSMUSG00000059552	Trp53	-0.369505301010802	0.449544
ENSMUSG00000029432	Nipsnap2	-0.369412256868458	0.3762965
ENSMUSG00000031216	Stard8	-0.369143604715431	0.2595235
ENSMUSG00000029430	Ran	-0.369115314809375	0.6428905
ENSMUSG00000022551	Cyc1	-0.369052231270743	0.734294999999999
ENSMUSG00000002820	Atg4d	-0.368991696772446	0.3980365
ENSMUSG00000028080	Lrba	-0.368880682751044	0.0152416
ENSMUSG00000027894	Slc6a17	-0.368873290713881	0.186533999999999
ENSMUSG00000027655	Dhx35	-0.36824208873014	0.2152645
ENSMUSG00000048154	Kmt2d	-0.368213522778487	0.447427999999999
ENSMUSG00000036278	Macrod1	-0.368177517929251	0.352790999999999
ENSMUSG00000001983	Taco1	-0.368132947851844	0.262447
ENSMUSG00000051339	2900026A02Rik	-0.368051993659574	0.2139885
ENSMUSG00000031295	Phka2	-0.368029404835724	0.2474335
ENSMUSG00000050071	Bex1	-0.368022941417426	0.776913
ENSMUSG00000013701	Timm23	-0.367980634194023	0.562589
ENSMUSG00000017999	Ddx27	-0.36783020629044	0.1060745
ENSMUSG00000037503	Fam168b	-0.367829428256134	0.715231
ENSMUSG00000031242	2610002M06Rik	-0.367648063794279	0.2962425
ENSMUSG00000040472	Rabggta	-0.367467722621048	0.01883765
ENSMUSG00000027601	Mtfr1	-0.367428049828153	0.380386
ENSMUSG00000027864	Ptgfrn	-0.367189550734333	0.5935085
ENSMUSG00000046230	Vps13a	-0.367147497468624	0.01838215
ENSMUSG00000022407	Adsl	-0.366897402075805	0.384712999999999
ENSMUSG00000061759	Armt1	-0.366823965097822	0.2771115
ENSMUSG00000036613	Eipr1	-0.366783295710882	0.0809949
ENSMUSG00000058440	Nrf1	-0.366783104283968	0.2918055
ENSMUSG00000001134	Uxt	-0.366651229110411	0.2731575
ENSMUSG00000031671	Setd6	-0.366650141002976	0.404632499999999
ENSMUSG00000025747	Tyms	-0.366279222285472	0.2066035
ENSMUSG00000001910	Nacc1	-0.366238786027244	0.610394
ENSMUSG00000066150	Slc31a1	-0.366213360103617	0.577167
ENSMUSG00000074923	Pak6	-0.366210699181771	0.255602
ENSMUSG00000024132	Eci1	-0.366125035727042	0.5586635
ENSMUSG00000078652	Psme3	-0.366116285885555	0.377338
ENSMUSG00000040537	Adam22	-0.365950444644266	0.0151077
ENSMUSG00000066278	Vps37b	-0.365820789370613	0.742688999999999
ENSMUSG00000040463	Mybbp1a	-0.365743554419227	0.1614175
ENSMUSG00000040667	Nup88	-0.365704057496853	0.3402435
ENSMUSG00000029427	Zcchc8	-0.365229779020901	0.438703
ENSMUSG00000097166	9330179D12Rik	-0.365222499892091	0.0189058
ENSMUSG00000042203	Tbc1d22b	-0.365177671528816	0.219088
ENSMUSG00000025353	Ormdl2	-0.365120289188219	0.2433225
ENSMUSG00000007670	Khsrp	-0.364869071242138	0.522393
ENSMUSG00000001518	Itfg2	-0.364867435310109	0.432819
ENSMUSG00000105552	Gm19710	-0.364694682040847	0.13578835
ENSMUSG00000077797	Snord19	-0.364477036678542	0.802631499999999
ENSMUSG00000059325	Hopx	-0.364422130140655	0.715149
ENSMUSG00000028278	Rragd	-0.364364339700537	0.4888745
ENSMUSG00000020153	Ndufs7	-0.363934435200359	0.6884285
ENSMUSG00000014226	Cacybp	-0.363727231293044	0.5450565
ENSMUSG00000064090	Vrk2	-0.363642314738342	0.03785925
ENSMUSG00000020802	Ube2o	-0.363502573186686	0.561762
ENSMUSG00000003099	Ppp5c	-0.363370996743534	0.5207005
ENSMUSG00000035107	Dcbld2	-0.363268467287291	0.474839
ENSMUSG00000038126	Mphosph9	-0.363181994859783	0.165522
ENSMUSG00000061479	Snrpa	-0.363014612986692	0.4667635
ENSMUSG00000087543	Gm16576	-0.36293210756493	0.11434325
ENSMUSG00000063273	Naa15	-0.362913835084524	0.425342
ENSMUSG00000038943	Prc1	-0.362896383099519	0.4453
ENSMUSG00000002007	Srpk3	-0.362793903247077	0.6232025
ENSMUSG00000026135	Zfp142	-0.362389607271291	0.4157225
ENSMUSG00000041180	Hectd2	-0.361679721582481	0.274802
ENSMUSG00000064264	Zfp428	-0.361589176131352	0.544889
ENSMUSG00000104618	Mir1839	-0.361510033598511	0.5
ENSMUSG00000001056	Nhp2	-0.361504497060404	0.4756285
ENSMUSG00000043733	Ptpn11	-0.361242500333526	0.4828475
ENSMUSG00000020091	Eif4ebp2	-0.360953482628208	0.601899
ENSMUSG00000003316	Glg1	-0.360853246528319	0.404567
ENSMUSG00000022401	Xpnpep3	-0.360756003376821	0.1255382
ENSMUSG00000046152	Fut10	-0.360755946107963	0.0347745
ENSMUSG00000113346	Eprn	-0.360742989945051	0.5086395
ENSMUSG00000008348	Ubc	-0.36067396478235	0.701274
ENSMUSG00000026112	Coa5	-0.360565404821286	0.642819
ENSMUSG00000025645	Ccdc51	-0.360432225550515	0.369761
ENSMUSG00000038369	Ncoa6	-0.360409971280505	0.4544745
ENSMUSG00000090100	Ttbk2	-0.360316907355409	0.264108
ENSMUSG00000024537	Psmg2	-0.36028228739254	0.272883
ENSMUSG00000097216	4932441J04Rik	-0.36026575418236	0.0
ENSMUSG00000001016	Ilf2	-0.360202769359494	0.3561695
ENSMUSG00000029405	G3bp2	-0.360199798583142	0.480253
ENSMUSG00000034274	Thoc5	-0.360139612279672	0.0210743
ENSMUSG00000003038	Hmgn2	-0.360128705260252	0.4169435
ENSMUSG00000038485	Socs7	-0.360097291043154	0.480503
ENSMUSG00000066640	Fbxl18	-0.360096074857984	0.403937
ENSMUSG00000016664	Pacsin2	-0.359850068923387	0.5805335
ENSMUSG00000004264	Phb2	-0.359671011781433	0.610834
ENSMUSG00000005299	Letm1	-0.359493927332258	0.143979499999999
ENSMUSG00000029394	Cdk2ap1	-0.359462839457498	0.370967
ENSMUSG00000046169	Adamts6	-0.359412442403511	0.3449275
ENSMUSG00000017478	Zc3h18	-0.359180809638256	0.365282499999999
ENSMUSG00000030595	Nfkbib	-0.359077004661521	0.195529999999999
ENSMUSG00000033054	Npat	-0.359067744430672	0.2884355
ENSMUSG00000078515	Ddi2	-0.358974053513883	0.510671
ENSMUSG00000018481	Appbp2	-0.358678788552057	0.448797499999999
ENSMUSG00000038970	Lmtk2	-0.35864654296177	0.311471
ENSMUSG00000025762	Larp1b	-0.358560199520933	0.1328715
ENSMUSG00000058301	Upf1	-0.358530676828992	0.518801
ENSMUSG00000087478	4930506C21Rik	-0.358509986626276	0.11151545
